1743911951739, in 0, out 0
1743911956794, in 23757, out 4391
1743911961794, in 51655, out 5157
1743911966812, in 51794, out 5265
1743911971823, in 52489, out 5555
1743911976827, in 52489, out 5555
1743911981843, in 53184, out 5845
1743911986852, in 53184, out 5845
1743911991858, in 53879, out 6135
1743911996903, in 53879, out 6135
1743912001913, in 54574, out 6425
1743912006916, in 54574, out 6425
1743912011928, in 55269, out 6715
1743912016934, in 55269, out 6715
1743912021948, in 55964, out 7005
1743912026952, in 55964, out 7005
1743912031963, in 56659, out 7295
1743912036965, in 56659, out 7295
1743912041969, in 57354, out 7585
1743912046983, in 57354, out 7585
1743912051998, in 58049, out 7875
1743912057002, in 58049, out 7875
1743912062014, in 58744, out 8165
1743912067021, in 58744, out 8165
1743912072028, in 58744, out 8165
1743912077038, in 58744, out 8165
1743912082047, in 58744, out 8165
1743912087059, in 58744, out 8165
1743912092072, in 58744, out 8165
